"C14ID","C14Age","C14SD","LabCode","Material","SiteID","Latitude","Longitude","Country"
20696,5520,110,"K-1723","charcoal","S8146",55.9504,11.8993,"Denmark"
20699,4630,90,"K-6028","wood","S8149",55.6846,11.2358,"Denmark"
20700,5059,68,"AAR-3316","bone","S8149",55.6846,11.2358,"Denmark"
20701,5060,61,"AAR-3317","bone","S8149",55.6846,11.2358,"Denmark"
20702,5319,65,"AAR-3318","bone","S8149",55.6846,11.2358,"Denmark"
20703,6140,60,"AAR-3782","wood","S8149",55.6846,11.2358,"Denmark"
20704,6189,49,"AA-43837","wood","S8149",55.6846,11.2358,"Denmark"
20705,6495,60,"AAR-3783","wood","S8149",55.6846,11.2358,"Denmark"
20707,3065,50,"AAR-6564","charcoal","S8151",56.8688,8.45148,"Denmark"
20708,3520,45,"AAR-6553","charcoal","S8151",56.8688,8.45148,"Denmark"
20709,4020,85,"K-3245","charcoal","S8152",55.0347,9.28893,"Denmark"
20710,3980,85,"K-3472","charcoal","S8153",57.014,9.9819,"Denmark"
20711,4590,40,"AAR-5473","NULL","S8154",56.6529,9.66608,"Denmark"
20712,4600,90,"K-2778","bone","S8155",55.5711,12.1318,"Denmark"
20715,4640,100,"AAR-5114","food residue","S8157",55.5939,11.559,"Denmark"
20716,5050,65,"K-5042","bone","S8157",55.5939,11.559,"Denmark"
20717,5095,45,"AAR-4819","food residue","S8157",55.5939,11.559,"Denmark"
20718,5110,65,"K-5041","bone","S8157",55.5939,11.559,"Denmark"
20719,5130,65,"K-5043","bone","S8157",55.5939,11.559,"Denmark"
20720,5140,65,"K-5044","bone","S8157",55.5939,11.559,"Denmark"
20721,5180,40,"AAR-4818","food residue","S8157",55.5939,11.559,"Denmark"
20722,4240,60,"K-4074","wood","S8158",54.9377,10.8262,"Denmark"
20723,4260,115,"K-6197","plant macrofossils","S8158",54.9377,10.8262,"Denmark"
20724,4370,70,"K-4073","wood","S8158",54.9377,10.8262,"Denmark"
20725,4940,80,"Ka-6448","food residue","S8159",55.3548,11.4112,"Denmark"
20728,4240,90,"K-5495","charcoal","S8161",55.2157,14.8827,"Denmark"
20729,4380,90,"K-5496","charcoal","S8161",55.2157,14.8827,"Denmark"
20730,3460,100,"K-2297","charcoal","S8162",56.4147,8.83509,"Denmark"
20731,3730,100,"K-2296","charcoal","S8162",56.4147,8.83509,"Denmark"
20733,4310,100,"K-1789","charcoal","S8164",56.0833,8.25,"Denmark"
20735,3650,80,"K-3533","charcoal","S8165",56.837,8.25868,"Denmark"
20736,3680,85,"K-3534","charcoal","S8165",56.837,8.25868,"Denmark"
